Sort,Box id,Box name,Jobs inside,Job id,Name,Type,Box_name,Command,Machine,Owner,Permission,Date_condition,Days_of_week,Start_times,Condition,Description,Std_out_file,Std_err_file,Alarm_if_fail
30,31,FHDARIW,"",32,FHDARIWLOAD,c,FHDARIW,\\ptcapp11\e$\warehouse\flash\bin\FLASH_UPDT_CORP.exe ARIESIWSAPUAR,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FHDARIWLOAD,"","",1
31,34,IWWOSAAUDIT,1,34,IWWOSAAUDIT,b,"","",iwpdbs,bkpbtch@BKGLOBAL,"gx,wx,mx",1,fr,07:00,"",IWWOSAAUDIT,"","",0
32,34,IWWOSAAUDIT,"",35,IWWOSASTAT1,c,IWWOSAAUDIT,perl -S run_sql.pl qstatwi,iwpdbs,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",IWWOSASTAT1,"","",1
33,36,FHWIW_WK,1,36,FHWIW_WK,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,fr,10:00,"",FHWIW_WK,"","",0
34,36,FHWIW_WK,"",37,FHWIWLOAD1_WK,c,FHWIW_WK,\\ptcapp11\e$\warehouse\flash\bin\FLASH_UPDT_CORP.exe IWSAP,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FHWIWLOAD1_WK,"","",1
35,38,FHDARIW_WK,1,38,FHDARIW_WK,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,mo,06:00,"",FHDARIW_WK,"","",0
36,38,FHDARIW_WK,"",39,FHDARIWLOAD_WK,c,FHDARIW_WK,\\ptcapp11\e$\warehouse\flash\bin\FLASH_UPDT_CORP.exe ARIESIWSAPUAR,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",FHDARIWLOAD_WK,"","",1
37,41,ASDEREST,17,41,ASDEREST,b,"","","prdetl00, ptcapp11",bkpbtch@BKGLOBAL,"gx,wx,mx",1,"mo,tu,we,th,fr",17:00,"",ASDEREST,"","",0
38,41,ASDEREST,"",42,ASDER01,c,ASDEREST,\\ptcapp11\arbin\sap\Adi.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER01,"","",1
39,41,ASDEREST,"",43,ASDER02,c,ASDEREST,\\ptcapp11\arbin\sap\CodeTabs.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER02,"","",1
40,41,ASDEREST,"",44,ASDER03,c,ASDEREST,\\ptcapp11\arbin\sap\RestProfile.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER03,"","",1
41,41,ASDEREST,"",45,ASDER04,c,ASDEREST,\\ptcapp11\arbin\sap\RestAddr.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER04,"","",1
42,41,ASDEREST,"",46,ASDER05,c,ASDEREST,\\ptcapp11\arbin\sap\RestPhone.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER05,"","",1
43,41,ASDEREST,"",47,ASDER06,c,ASDEREST,\\ptcapp11\arbin\sap\RestHist.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER06,"","",1
44,41,ASDEREST,"",48,ASDER07,c,ASDEREST,\\ptcapp11\arbin\sap\RestAlgn.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER07,"","",1
45,41,ASDEREST,"",49,ASDFTPDR01,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDADI.DAT \\ptcapp11\arotsap\Adi.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER01),ASDFTPDR01,"","",1
46,41,ASDEREST,"",50,ASDFTPDR02,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDCODES.DAT \\ptcapp11\arotsap\CodeTabs.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER02),ASDFTPDR02,"","",1
47,41,ASDEREST,"",51,ASDFTPDR03,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDREST.DAT \\ptcapp11\arotsap\RestProfile.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER03),ASDFTPDR03,"","",1
48,41,ASDEREST,"",52,ASDFTPDR04,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDREADDR.DAT \\ptcapp11\arotsap\RestAddr.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER04),ASDFTPDR04,"","",1
49,41,ASDEREST,"",53,ASDFTPDR05,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDREPHON.DAT \\ptcapp11\arotsap\RestPhone.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER05),ASDFTPDR05,"","",1
50,41,ASDEREST,"",54,ASDFTPDR06,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDREHIST.DAT \\ptcapp11\arotsap\RestHist.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER06),ASDFTPDR06,"","",1
51,41,ASDEREST,"",55,ASDFTPDR07,c,ASDEREST,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDREFLAT.DAT \\ptcapp11\arotsap\RestAlgn.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDER07),ASDFTPDR07,"","",1
52,41,ASDEREST,"",56,ASDER08,c,ASDEREST,/informatica/dw/infa/infa_shared/scripts/common/start_inf_session.sh bkpbtch inpconn s_m_asd_Ext_Rest_OrgMng 1 1,prdetl00,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDER08,"","",1
53,41,ASDEREST,"",57,ASDE_REST_BILL_PRTY,c,ASDEREST,\\ptcapp11\arbin\sap\RestBillableParty.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDE_REST_BILL_PRTY,"","",1
54,41,ASDEREST,"",58,ASDE_REST_BILL_PRTY_FTP,c,ASDEREST,\\ptcapp11\arbin\sap\RestBillablePartyftp.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDE_REST_BILL_PRTY),ASDE_REST_BILL_PRTY_FTP,"","",1
55,59,ASDEFRAN,16,59,ASDEFRAN,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"mo,tu,we,th,fr",17:00,"",ASDEFRAN,"","",0
56,59,ASDEFRAN,"",60,ASDEF01,c,ASDEFRAN,\\ptcapp11\arbin\sap\FranGrpProf.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDEF01,"","",1
57,59,ASDEFRAN,"",61,ASDEF02,c,ASDEFRAN,\\ptcapp11\arbin\sap\FranGrpAddr.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDEF02,"","",1
58,59,ASDEFRAN,"",62,ASDEF03,c,ASDEFRAN,\\ptcapp11\arbin\sap\FranGrpPhone.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDEF03,"","",1
59,59,ASDEFRAN,"",63,ASDEF04,c,ASDEFRAN,\\ptcapp11\arbin\sap\FranAgmt.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDEF04,"","",1
60,59,ASDEFRAN,"",64,ASDFTPDF01,c,ASDEFRAN,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDFGPROF.DAT \\ptcapp11\arotsap\FranGrpProf.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDEF01),ASDFTPDF01,"","",1
61,59,ASDEFRAN,"",65,ASDFTPDF02,c,ASDEFRAN,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDFGADDR.DAT \\ptcapp11\arotsap\FranGrpAddr.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDEF02),ASDFTPDF02,"","",1
62,59,ASDEFRAN,"",66,ASDFTPDF03,c,ASDEFRAN,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDFGPHON.DAT \\ptcapp11\arotsap\FranGrpPhone.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDEF03),ASDFTPDF03,"","",1
63,59,ASDEFRAN,"",67,ASDFTPDF04,c,ASDEFRAN,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDFRCONT.DAT \\ptcapp11\arotsap\FranAgmt.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDEF04),ASDFTPDF04,"","",1
64,59,ASDEFRAN,"",68,ASDEF05,c,ASDEFRAN,\\ptcapp11\arbin\sap\FranAgmtCmply.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDEF05,"","",1
65,59,ASDEFRAN,"",69,ASDFTPDF05,c,ASDEFRAN,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDFRCMPL.DAT \\ptcapp11\arotsap\FranAgmtCmply.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDEF05),ASDFTPDF05,"","",1
66,59,ASDEFRAN,"",70,ASDE_FRAN_PRTY,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillableParty.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDE_FRAN_PRTY,"","",1
67,59,ASDEFRAN,"",71,ASDE_FRAN_PRTY_ADDR,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillablePartyAddress.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDE_FRAN_PRTY_ADDR,"","",1
68,59,ASDEFRAN,"",72,ASDE_FRAN_PRTY_PHONE,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillablePartyPhone.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASDE_FRAN_PRTY_PHONE,"","",1
69,59,ASDEFRAN,"",73,ASDE_FRAN_PRTY_ADDR_FTP,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillablePartyAddressftp.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDE_FRAN_PRTY_ADDR),ASDE_FRAN_PRTY_ADDR_FTP,"","",1
70,59,ASDEFRAN,"",74,ASDE_FRAN_PRTY_FTP,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillablePartyftp.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDE_FRAN_PRTY),ASDE_FRAN_PRTY_FTP,"","",1
71,59,ASDEFRAN,"",75,ASDE_FRAN_PRTY_PHONE_FTP,c,ASDEFRAN,\\ptcapp11\arbin\sap\BillablePartyPhoneftp.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASDE_FRAN_PRTY_PHONE),ASDE_FRAN_PRTY_PHONE_FTP,"","",1
72,76,FBDUGLAC,2,76,FBDUGLAC,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"mo,tu,we,th,fr",18:30,"",FBDUGLAC,"","",0
73,76,FBDUGLAC,"",77,FBDUGLA,c,FBDUGLAC,e\:\fcb\bin\fbduglac.bat f\:\interface\fcb\inbound\SAP\fbduglac.dat e\:\fcb\log\fbduglac.log,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FBDFTPGL),FBDUGLA,"","",1
74,76,FBDUGLAC,"",78,FBDFTPGL,c,FBDUGLAC,e\:\bkftp\bkftp.exe get bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/SKA1.DAT f\:\interface\fcb\inbound\SAP\fbduglac.dat t,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FSDEGLA),FTPGL,"","",1
75,80,IWMFIRST,1,80,IWMFIRST,b,"","",iwpdbs,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",01:00,"",IWMFIRST,"","",0
76,80,IWMFIRST,"",81,IWMUA7,c,IWMFIRST,perl -S run_sql.pl processing_month,iwpdbs,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",IWMUA7,"","",1
77,87,ASMECO,3,87,ASMECO,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",17:10,"",ASMECO,"","",0
78,87,ASMECO,"",88,ASM1C01,c,ASMECO,\\ptcapp11\arbin\sap\CostCenterAdds.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",ASM1C01,"","",1
79,87,ASMECO,"",89,ASM1C02,c,ASMECO,\\ptcapp11\arbin\sap\CostCenterAdds_Export.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM1C01),ASM1C02,"","",1
80,87,ASMECO,"",90,FTP1C01,c,ASMECO,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSADD.DAT \\ptcapp11\arotsap\Zfsadd.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM1C02),FTP1C01,"","",1
81,91,ASMECC,4,91,ASMECC,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",17:12,"",ASMECC,"","",0
82,91,ASMECC,"",92,ASMEC01,c,ASMECC,\\ptcapp11\arbin\sap\CostCenterDump.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FTP1C01),ASMEC01,"","",1
83,91,ASMECC,"",93,ASMEC02,c,ASMECC,\\ptcapp11\arbin\sap\costcenterchgs.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASMEC01),ASMEC02,"","",1
84,91,ASMECC,"",94,ASMEC03,c,ASMECC,\\ptcapp11\arbin\sap\CostCenterChgs_exp.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASMEC02),ASMEC03,"","",1
85,91,ASMECC,"",95,FTPMC01,c,ASMECC,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSCHGCC.DAT \\ptcapp11\arotsap\Zfschgcc.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASMEC03),FTPMC01,"","",1
86,96,ASMECZ,2,96,ASMECZ,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",17:13,"",ASMECZ,"","",0
87,96,ASMECZ,"",97,ASMEZ01,c,ASMECZ,\\ptcapp11\arbin\sap\ZHRCV.bat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FTPMC01),ASMEZ01,"","",1
88,96,ASMECZ,"",98,ASMFTPMZ01,c,ASMECZ,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/MDZHRCV.DAT \\ptcapp11\arotsap\mdzhrcv.dat,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASMEZ01),FTPMZ01,"","",1
89,99,ASME_US_ALT_HIER,44,99,ASME_US_ALT_HIER,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"",18:18,"",ASME_US_ALT_HIER,"","",0
90,99,ASME_US_ALT_HIER,"",100,ASME_US_RETL,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSRETL.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_CA_RTA2),ASME_US_RETL,"","",1
91,99,ASME_US_ALT_HIER,"",101,ASM_FTP_US_RETL,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSRETL.DAT \\ptcapp11\arotsap\ZFSUSRETL.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_RETL),ASM_FTP_US_RETL,"","",1
92,99,ASME_US_ALT_HIER,"",102,ASME_US_FSSD,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSFSSD.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_US_RETL),ASME_US_FSSD,"","",1
93,99,ASME_US_ALT_HIER,"",103,ASM_FTP_US_FSSD,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSFSSD.DAT \\ptcapp11\arotsap\ZFSUSFSSD.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_FSSD),ASM_FTP_US_FSSD,"","",1
94,99,ASME_US_ALT_HIER,"",104,ASME_US_ADIA,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSADIA.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_US_FSSD),ASME_US_ADIA,"","",1
95,99,ASME_US_ALT_HIER,"",105,ASM_FTP_US_ADIA,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSADIA.DAT \\ptcapp11\arotsap\ZFSUSADIA.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_ADIA),ASM_FTP_US_ADIA,"","",1
96,99,ASME_US_ALT_HIER,"",106,ASME_US_ADIC,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSADIC.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_US_ADIA),ASME_US_ADIC,"","",1
97,99,ASME_US_ALT_HIER,"",107,ASM_FTP_US_ADIC,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSADIC.DAT \\ptcapp11\arotsap\ZFSUSADIC.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_ADIC),ASM_FTP_US_ADIC,"","",1
98,99,ASME_US_ALT_HIER,"",108,ASME_US_ADIF,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSADIF.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_US_ADIC),ASME_US_ADIF,"","",1
99,99,ASME_US_ALT_HIER,"",109,ASM_FTP_US_ADIF,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSADIF.DAT \\ptcapp11\arotsap\ZFSUSADIF.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_ADIF),ASM_FTP_US_ADIF,"","",1
100,99,ASME_US_ALT_HIER,"",110,ASME_US_ADIR,c,ASME_US_ALT_HIER,\\ptcapp11\arbin\sap\ZFSUSADIR.BAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASM_FTP_US_ADIF),ASME_US_ADIR,"","",1
101,99,ASME_US_ALT_HIER,"",111,ASM_FTP_US_ADIR,c,ASME_US_ALT_HIER,e\:\bkftp\bkftp.exe put bkpcis bkpftp sensory1 /usr/sap/bk_data/bkp/ZFSUSADIR.DAT \\ptcapp11\arotsap\ZFSUSADIR.DAT,ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(ASME_US_ADIR),ASM_FTP_US_ADIR,"","",1
